,short,long,alpha,strategy_returns,strategy_std,benchmark_returns,benchmark_std,training_strategy_returns,training_strategy_std,training_benchmark_returns,training_benchmark_std,ticker
0,12,50,0.005,0.00023510869267161807,0.021690690426645908,0.0013024033083341231,0.01777409094150749,0.0010482726497013032,0.017313179181616963,0.00031091775296343506,0.018389481038028885,AAPL
1,25,61,0.025,6.386363924210013e-05,0.01909804081174759,0.0008034992057908901,0.017735712738836878,0.0025042003101885934,0.015299567409099428,0.0014768782437064715,0.015562148830088699,ABBV
2,23,50,0.02,0.0006000804099981666,0.016564190144901465,0.0007337063325433289,0.014807501222098582,0.001795461021766656,0.011553092155190944,0.0008851882638617551,0.01103092542578816,ABT
3,18,83,0.02,0.0003234426435005758,0.018477474322879432,0.0008490850356123979,0.014732280430281392,0.0017377628439955313,0.014400092929119779,0.0009016293739016602,0.013482712979953616,ACN
4,20,55,0.005,0.0006635578820390079,0.023156570903376767,0.0011131713509323503,0.019205483742778345,0.004172123912048567,0.021168681196712304,0.0016030857109055475,0.015620942963004203,ADBE
5,22,50,0.015,0.0007251450738068452,0.026298502227308902,0.0013138057730271908,0.024087037482736946,0.003616678752151847,0.01743152551315437,0.001024118130846452,0.015073235689791388,AMAT
6,18,61,0.02,-0.00025638383471025014,0.03755048875986803,0.0023818782060945664,0.03731913811561941,0.0008183960919407031,0.029984771427877404,-0.0007880889896240108,0.03337694907983953,AMD
7,16,100,0.02,-9.040843249617122e-05,0.01806597549974287,0.0005215366544947843,0.01607092184230587,0.0015450737433886775,0.014492366309840068,0.0014083564952459577,0.014624315882271062,AMGN
8,23,88,0.015,0.0006674214015420509,0.01992735246053101,0.0012664609433515987,0.019353436739993592,0.0018175647512831679,0.018772219366587937,0.0014730434447026036,0.01876833353386982,AMZN
9,16,61,0.005,0.0010913335967695967,0.02424419701962809,0.0012409794234101016,0.020739063713093975,0.0023847236106417837,0.01567001436093787,0.0020202872291107473,0.022185247248241478,ASML
10,23,66,0.005,0.0009179742272210046,0.027020713648052513,0.0014925515467637768,0.022041891802801163,0.007014760192381476,0.024467350012872237,0.0012919288611576562,0.020073931524483373,AVGO
11,23,50,0.005,0.00032608814901981487,0.022697998697585615,0.0006314151007732528,0.019218869709398376,0.003968229999237284,0.014193425866361999,0.0011636888697976382,0.012178473599952071,AXP
12,25,50,0.005,0.0007253470639078996,0.017247459555314607,0.0005564379539829728,0.016028973411184345,0.0019934387062490377,0.011253977216185254,0.0010481034875113458,0.009978240381093954,AZN
13,20,72,0.005,0.00016395062148109911,0.026880196038882434,0.0006304351348622079,0.025002803275936642,0.0029153154151102794,0.013859506461875646,0.0012429846123463326,0.01314869597712992,BA
14,25,88,0.005,0.000165677834006557,0.024622627688513487,0.0005885065597358653,0.02256922702122877,0.0006711020274177413,0.0235753472852752,-0.0004190781032414639,0.022148686382347862,BABA
15,23,88,0.005,6.687345253364647e-05,0.022787570678304767,0.0007786976242671265,0.019796805690981786,0.006587349084911156,0.015512386214788702,0.0015902828945907794,0.01919531087228369,BAC
16,18,50,0.02,-0.00033565635436299905,0.02245070356847745,0.00039627102738654297,0.021388962006328848,0.001054794467872703,0.0155509037455092,5.0410993483537204e-05,0.015260964182214308,BHP
17,20,50,0.005,0.00028855530132572426,0.020097495439610022,0.0006988816441311391,0.0167253266097798,0.003310751445226789,0.01827833369014171,0.0010852607281334019,0.014329189724771468,BLK
18,22,100,0.02,-8.92171010107765e-05,0.017859773590486433,0.0003473459741081891,0.015705202977191537,0.0022186895375611903,0.014383885360811997,0.0012442061913632402,0.01306966610597225,BMY
19,23,88,0.015,0.0011740913098201016,0.023714201959588423,0.0010954190125730644,0.020010680031372803,0.005350369830335787,0.016905097689140544,0.0017939859280152704,0.018037475473244045,BX
20,20,50,0.01,-0.0002452948646259355,0.024749128473494607,0.00043482767143258855,0.020769881790266075,0.004109882322839405,0.018131724898589822,0.0008999593282235313,0.01822978148008515,C
21,22,55,0.005,0.0003594056335400314,0.017452847296382374,0.00048802060518463595,0.015128784858378248,0.00520331375007178,0.016143439595319137,0.0013000044529539233,0.012356038006119913,CMCSA
22,19,83,0.015,-0.000308645299521871,0.02946138804014923,0.000583443968544837,0.02453566975290543,0.0015089591033560588,0.00846781927479526,0.000516523733171246,0.010501368810558322,COP
23,22,66,0.005,0.0009831221231343887,0.013822353036920006,0.0009177354619440903,0.012570286026448083,0.0012606274320947496,0.01124541536378325,0.000851075543645469,0.009982849749739826,COST
24,25,61,0.02,0.00019197681100229067,0.024001874686099108,0.0007857140395518396,0.02125823807821002,0.005289701883110745,0.01774052651815252,0.001574121285220779,0.020965305233562038,CRM
25,25,72,0.015,0.00025345498548980344,0.018164929902599634,0.0007194727966762762,0.015730742863790066,0.002854259141177644,0.01532658014765986,0.000416734905757326,0.016094479712856838,CSCO
26,16,66,0.02,-0.0007019398358608039,0.01823631317567041,0.0004012603563351902,0.015908255361596246,0.0017099200051058118,0.009943298297754316,0.0010773936460244278,0.010470625557819593,CVS
27,23,50,0.015,-0.0001411803885334349,0.021140644704038692,0.00043430515353993447,0.01879327521379328,0.0015529776707760656,0.0107760476002379,0.00029188604543675147,0.009823554601367728,CVX
28,15,61,0.005,-0.0002306558170907247,0.021348755558146946,0.0009751917135925284,0.01795404488129777,0.0011992877843440043,0.011683997713196503,0.00019071092278668734,0.012351334397129933,DE
29,25,55,0.005,0.00035205132651553307,0.015443794958728878,0.00041506908622575706,0.012871311048462536,0.0025400730660626713,0.012975912761400723,0.0007646131747001836,0.010810421044354701,DEO
30,23,100,0.005,0.00042988420125147404,0.015378513942631124,0.0008716204527781455,0.013418112980866901,0.002440746770088776,0.010072235080386908,0.0007817757807409428,0.011165453984718477,DHR
31,23,50,0.005,0.00020473739141572953,0.01795447906095119,0.0004892803541926034,0.016307317683613695,0.0017912154584509075,0.01223350076331076,0.0014088489895966152,0.011787875746978031,DIS
32,25,77,0.005,0.00013226624007414313,0.023819158604838627,0.0008362269302227082,0.020640609041937444,0.004056885148049438,0.026825467142186362,0.0014766477669502023,0.033449629779062996,FB
33,25,55,0.005,0.0006891230099152205,0.017332888677176892,0.000865337768720903,0.01646872315980564,0.001985695959916283,0.012142389893068766,0.0014359197605825266,0.013781877567846598,GOOG
34,25,55,0.005,0.0005828855626328025,0.01701456464585025,0.0008625096481883003,0.016449550730234744,0.0019856967213879475,0.012142392216737845,0.0014359197005968233,0.013781877149748677,GOOGL
35,25,50,0.005,-0.00018596402240095815,0.01982874404977468,0.0005970042159130864,0.01808066068672226,0.0023616167278605995,0.013927195442498519,0.0008598941658252812,0.015236534788135525,GS
36,20,50,0.025,0.0005909939429626666,0.017321101518026856,0.0009425723750120834,0.014813842150235786,0.0018059270408198826,0.013092274670868423,0.0011482760680728665,0.011374730842067438,HD
37,20,50,0.01,-0.00016873019803127038,0.020736387354080014,0.0008824850329254161,0.018219263648065257,0.001842165528700607,0.021220638756886907,8.776866328813227e-05,0.0198884872450138,HDB
38,16,50,0.005,0.0004203129191140252,0.017540040143798313,0.0005384208938839061,0.014482918936321613,0.0032651971253469846,0.01216696426129727,0.0010510457746168596,0.011693340279302022,HON
39,22,50,0.005,-0.00032173957154677245,0.016544511278561942,0.00012729741709108006,0.01494248910529541,0.0028778623058598207,0.012470275102293338,0.0005963035304925367,0.01206467139600812,HSBC
40,19,66,0.005,-0.0006045531978192535,0.017082254712032032,0.00011040018104143217,0.015170032441582819,0.001130778626536014,0.011538111948150617,4.0213629974978877e-05,0.0110817751028306,IBM
41,25,66,0.02,-0.00013631518717882555,0.022446126884817102,0.0006055110398139704,0.019572357860475183,0.0007503513863371258,0.013043397325189884,5.1143688870230066e-05,0.013260000282153704,INTC
42,19,55,0.015,0.00025152933076648355,0.022333950851280156,0.001102792990896905,0.017790266474426022,0.0010005451308291418,0.017538067811473042,0.0006256118336969933,0.013000554686227399,INTU
43,20,50,0.005,0.0004058317043610488,0.028356801059640942,0.0008821641532965721,0.02694522782005613,0.0012791555887972153,0.027672192381639045,0.001569745582945478,0.02955086809811185,JD
44,25,83,0.005,0.0004898635696632673,0.01311645024340145,0.0004608579868720836,0.011480041969649258,0.001624316467250011,0.008044385294141199,0.000859522048657082,0.007516441658547529,JNJ
45,25,83,0.01,1.4390929900360082e-05,0.020968133799929775,0.0007392403625301542,0.017257576454722746,0.002661527498698372,0.012440069758759808,0.0010296774542661938,0.015032871901701621,JPM
46,22,50,0.005,0.00038221485677379966,0.012055282216134496,0.00045173552450286316,0.011432599931334053,0.0004251525286289978,0.010093033206788627,0.0003167347131425092,0.009443109582393827,KO
47,22,50,0.01,0.00045178835572102003,0.016628403705435082,0.0006090254816592083,0.014088586478179782,0.0025972592794130727,0.012584284824834084,0.00043221408651280093,0.009692558949433328,LIN
48,25,50,0.02,0.00031431866255510687,0.018412656320218098,0.0009375242119788608,0.01667048259168152,0.0016118313647327947,0.011609783109314303,0.0010264769712352148,0.011262913616458974,LLY
49,25,66,0.005,5.639739181923184e-05,0.022686971404626506,0.0010037485437709706,0.017913388058908554,0.002442813822393496,0.01376608514933453,0.0012284802715603756,0.015610385608158417,LOW
