,upper_short,lower_short,upper_long,lower_long,upper_p,lower_p,training_returns,training_benchmark_returns,training_benchmark_std,returns,benchmark_returns,benchmark_std,ticker
0,10,10,68,50,0.0001,1e-08,-0.001539803328419073,0.00031091775296343506,0.018389481038028885,0.00026218187969940566,0.0012962442040995849,0.017771828432068662,AAPL
1,17,25,50,62,0.025,5.0005000000000007e-05,0.0021107400646650618,0.0016556807220635943,0.015622042273992514,-0.0011427920556732096,0.0008282209015899355,0.017550399371708412,ABBV
2,10,21,68,56,0.01255,1e-08,0.00045419698322701215,0.0008851882638617551,0.01103092542578816,-0.002621967864306728,0.0007316859446477524,0.014804102426117566,ABT
3,10,17,56,56,0.018775,0.0001,-0.0003951886010905511,0.0009016293739016602,0.013482712979953616,-0.0011377784612529936,0.0008511635727474962,0.014728918033273593,ACN
4,25,10,62,75,0.006325000000000001,7.50025e-05,0.003295922817858839,0.0016030857109055475,0.015620942963004203,0.0006535950027872079,0.0011107346604451393,0.019201026703728467,ADBE
5,13,25,50,75,0.025,0.0001,0.004785919145116758,0.001024118130846452,0.015073235689791388,-0.0007493622895417072,0.001316028557941762,0.02408126355068711,AMAT
6,10,17,75,56,0.025,1e-08,-0.0025859512537264964,-0.0007880889896240108,0.03337694907983953,0.004190985013781306,0.0023806961325431547,0.03730990976727099,AMD
7,21,17,50,68,0.018775,2.5007500000000004e-05,0.0017073942436219662,0.0014083564952459577,0.014624315882271062,0.0006132044864081826,0.0005227244603478938,0.01606702001626048,AMGN
8,13,25,56,50,0.0001,2.5007500000000004e-05,0.0012395538090619444,0.0014730434447026036,0.01876833353386982,0.000763867207029402,0.0012615194650287644,0.019349902852798435,AMZN
9,13,17,50,50,0.0001,2.5007500000000004e-05,0.0005812810867528625,0.0020202872291107473,0.022185247248241478,-0.00018615452740263915,0.0012405312142487544,0.020733924110656405,ASML
