,date,price_eth,price_btc,btc_eth
999,2019-04-24,164.78,5415.0,32.86199781526884
998,2019-04-25,154.72,5219.9,33.73771975180972
997,2019-04-26,157.95,5314.1,33.64419119974676
996,2019-04-27,159.31,5295.69,33.24141610696127
995,2019-04-28,157.85,5307.52,33.62382008235667
994,2019-04-29,155.11,5238.14,33.77048546193024
993,2019-04-30,161.83,5320.81,32.87900883643329
992,2019-05-01,160.19,5383.2,33.60509395093327
991,2019-05-02,161.81,5492.87,33.946418639144675
990,2019-05-03,168.06,5772.69,34.348982506247765
989,2019-05-04,163.7,5829.45,35.610568112400735
988,2019-05-05,163.05,5775.62,35.42238577123582
987,2019-05-06,173.0,5747.79,33.22421965317919
986,2019-05-07,169.18,5846.34,34.55692162194113
985,2019-05-08,170.85,5987.29,35.044132279777585
984,2019-05-09,170.9,6209.18,36.33224107665301
983,2019-05-10,172.91,6373.33,36.85923312706032
982,2019-05-11,190.2,7076.22,37.20410094637224
981,2019-05-12,188.11,6967.31,37.03848811865398
980,2019-05-13,195.84,7790.71,39.78099468954248
979,2019-05-14,216.4,7947.56,36.72624768946395
978,2019-05-15,248.1,8169.87,32.929746070133014
977,2019-05-16,264.25,7866.59,29.76949858088931
976,2019-05-17,244.3,7355.26,30.107490790012278
975,2019-05-18,233.6,7257.45,31.06785102739726
974,2019-05-19,259.51,8148.48,31.399483642248853
973,2019-05-20,250.37,7938.15,31.70567560011183
972,2019-05-21,253.43,7904.87,31.19153217851083
971,2019-05-22,243.64,7628.43,31.310252832047286
970,2019-05-23,244.56,7851.51,32.10463689892051
969,2019-05-24,248.87,7964.87,32.00413870695544
968,2019-05-25,250.22,8025.41,32.07341539445288
967,2019-05-26,264.45,8614.43,32.57489128379656
966,2019-05-27,270.53,8756.32,32.367279044837915
965,2019-05-28,271.03,8715.64,32.157473342434415
964,2019-05-29,268.83,8645.68,32.16039876501879
963,2019-05-30,254.56,8269.54,32.485622250157135
962,2019-05-31,267.9,8555.0,31.93355729749907
961,2019-06-01,264.33,8544.07,32.323497143721866
960,2019-06-02,268.88,8725.98,32.453064564117824
959,2019-06-03,249.91,8115.82,32.47497098955624
958,2019-06-04,241.39,7687.03,31.8448568706243
957,2019-06-05,245.63,7776.5,31.65940642429671
956,2019-06-06,248.76,7786.7,31.302058208715227
955,2019-06-07,248.77,7980.53,32.07995337058327
954,2019-06-08,243.25,7893.62,32.45064748201439
953,2019-06-09,230.98,7628.13,33.02506710537709
952,2019-06-10,246.51,7982.75,32.38306762403148
951,2019-06-11,244.29,7884.9,32.27680216136559
950,2019-06-12,261.15,8127.64,31.122496649435195
949,2019-06-13,254.67,8218.54,32.27133152707426
948,2019-06-14,262.47,8650.0,32.956147369223146
947,2019-06-15,267.82,8808.7,32.890374131879625
946,2019-06-16,267.73,8953.33,33.44163896462854
945,2019-06-17,273.16,9313.96,34.097085956948305
944,2019-06-18,264.66,9081.55,34.31402554220509
943,2019-06-19,268.14,9255.49,34.51737898112926
942,2019-06-20,271.22,9517.12,35.09003760784603
941,2019-06-21,294.35,10159.86,34.51625615763547
940,2019-06-22,310.79,10729.5,34.52331156086103
939,2019-06-23,308.52,10906.07,35.34963697653313
938,2019-06-24,311.64,11056.59,35.47872545244513
937,2019-06-25,318.26,11820.86,37.14214792936593
936,2019-06-26,339.39,13093.8,38.58039423671882
935,2019-06-27,298.35,11329.99,37.97549857549857
934,2019-06-28,311.05,12400.63,39.86699887477897
933,2019-06-29,317.62,11903.13,37.47600906743907
932,2019-06-30,292.7,10854.1,37.08267851042023
931,2019-07-01,295.07,10624.93,36.008167553461895
930,2019-07-02,291.48,10842.85,37.199293261973374
929,2019-07-03,301.14,11940.0,39.649332536361825
928,2019-07-04,282.73,11145.67,39.42160365012556
927,2019-07-05,287.47,10970.73,38.16304310014957
926,2019-07-06,288.29,11256.49,39.045717853550244
925,2019-07-07,304.72,11406.24,37.431871882383824
924,2019-07-08,311.97,12238.6,39.2300541718755
923,2019-07-09,307.46,12543.41,40.79688414753139
922,2019-07-10,289.23,12108.37,41.864156553607856
921,2019-07-11,268.63,11342.89,42.22495625953914
920,2019-07-12,274.62,11757.22,42.81268662151336
919,2019-07-13,268.79,11355.76,42.24770266750995
918,2019-07-14,225.85,10174.18,45.04839495240204
917,2019-07-15,228.2,10838.72,47.4965819456617
916,2019-07-16,198.88,9439.59,47.463746983105395
915,2019-07-17,210.81,9667.92,45.86082254162516
914,2019-07-18,225.73,10627.16,47.07907677313605
913,2019-07-19,220.73,10504.29,47.58886422325919
912,2019-07-20,228.2,10740.23,47.06498685363716
911,2019-07-21,225.38,10589.45,46.98486999733783
910,2019-07-22,217.51,10340.31,47.539469449680475
909,2019-07-23,212.48,9864.91,46.427475527108435
908,2019-07-24,216.31,9763.28,45.13559243678055
907,2019-07-25,219.14,9879.87,45.084740348635584
906,2019-07-26,218.81,9824.0,44.89739957040354
905,2019-07-27,207.3,9476.52,45.71403762662808
904,2019-07-28,211.62,9541.54,45.08808241187034
903,2019-07-29,210.89,9507.64,45.08340841196833
902,2019-07-30,209.58,9574.21,45.682841874224636
901,2019-07-31,218.42,10080.53,46.15204651588683
900,2019-08-01,216.84,10374.99,47.84629219701162
899,2019-08-02,217.61,10523.75,48.360599237167406
898,2019-08-03,222.14,10816.86,48.6938867380931
897,2019-08-04,221.79,10929.23,49.277379503133595
896,2019-08-05,233.54,11828.8,50.64999571807827
895,2019-08-06,226.28,11481.69,50.74107300689411
894,2019-08-07,226.1,11975.03,52.96342326404246
893,2019-08-08,221.39,11999.77,54.20195130764714
892,2019-08-09,210.53,11879.99,56.42896499311262
891,2019-08-10,206.48,11309.31,54.77193917086401
890,2019-08-11,216.42,11549.97,53.36831161630163
889,2019-08-12,211.41,11396.08,53.90511328697791
888,2019-08-13,209.3,10892.71,52.043526039178204
887,2019-08-14,187.1,10050.37,53.716568679850354
886,2019-08-15,188.03,10293.93,54.74621071105675
885,2019-08-16,184.88,10331.54,55.88241021202943
884,2019-08-17,185.59,10216.02,55.0461770569535
883,2019-08-18,194.33,10306.78,53.03751350795039
882,2019-08-19,202.28,10915.54,53.96252719003362
881,2019-08-20,196.6,10760.51,54.73301119023398
880,2019-08-21,187.45,10142.57,54.10813550280075
879,2019-08-22,190.35,10099.88,53.0595219332808
878,2019-08-23,194.02,10389.55,53.548860942170904
877,2019-08-24,190.6,10134.35,53.17077649527807
