,upper_short,lower_short,upper_long,lower_long,upper_p,lower_p,training_returns,training_benchmark_returns,training_benchmark_std,returns,benchmark_returns,benchmark_std,ticker
0,20,29,50,50,1e-07,1e-06,-0.0008197474353361846,0.00031091775296343506,0.018389481038028885,0.0024441436528692814,0.0012962442040995849,0.017771828432068662,AAPL
1,16,25,50,75,1e-07,1e-06,,0.0016556807220635943,0.015622042273992514,0.0005235336910719331,0.0008282209015899355,0.017550399371708412,ABBV
2,16,33,100,100,1e-05,1e-07,0.0009639943699268135,0.0008851882638617551,0.01103092542578816,0.0012179230809319355,0.0007316859446477524,0.014804102426117566,ABT
3,20,20,87,50,1e-05,1e-06,,0.0009016293739016602,0.013482712979953616,-0.0005142389493639411,0.0008511635727474962,0.014728918033273593,ACN
4,16,16,50,50,1e-07,1e-06,,0.0016030857109055475,0.015620942963004203,0.0007947314266155953,0.0011107346604451393,0.019201026703728467,ADBE
5,16,20,100,62,1e-05,1e-06,,0.001024118130846452,0.015073235689791388,0.0036636697665177213,0.001316028557941762,0.02408126355068711,AMAT
6,16,16,50,100,1e-07,1e-08,,-0.0007880889896240108,0.03337694907983953,0.0029638474434556224,0.0023806961325431547,0.03730990976727099,AMD
7,20,16,50,100,1e-05,1e-06,,0.0014083564952459577,0.014624315882271062,0.000606681621567176,0.0005227244603478938,0.01606702001626048,AMGN
8,16,16,50,62,1e-07,1e-06,,0.0014730434447026036,0.01876833353386982,0.0012643214805887378,0.0012615194650287644,0.019349902852798435,AMZN
9,33,25,100,100,1e-05,1e-08,,0.0020202872291107473,0.022185247248241478,0.003769828207114455,0.0012405312142487544,0.020733924110656405,ASML
10,29,16,100,87,1e-05,1e-06,,0.0012919288611576562,0.020073931524483373,0.0010701449284791983,0.0014880255419040783,0.022037355492369556,AVGO
11,16,16,50,62,1e-07,1e-06,,0.0011636888697976382,0.012178473599952071,0.0008897435700718684,0.000629652244492907,0.019214260749782722,AXP
12,16,25,62,87,1e-05,1e-06,,0.0010481034875113458,0.009978240381093954,0.000980053006168453,0.0005560873349533742,0.01602500125836317,AZN
13,29,20,87,75,1e-06,1e-08,,0.0012429846123463326,0.01314869597712992,0.000266572079942697,0.0006252193007056898,0.024997691738964208,BA
14,16,16,50,50,1e-07,1e-09,,,,-5.2344375903093624e-05,0.0003793635233743483,0.022480671624457507,BABA
15,16,16,50,50,1e-07,1e-09,,0.0015902828945907794,0.01919531087228369,0.0008291204515869356,0.0007780067010108576,0.019791914583520996,BAC
16,33,33,87,62,1e-07,1e-06,-0.00019789943812689048,5.0410993483537204e-05,0.015260964182214308,-3.655334996000675e-05,0.00039642581957328196,0.021383652405923936,BHP
17,16,25,62,100,1e-05,1e-08,,0.0010852607281334019,0.014329189724771468,-0.0010094364231658715,0.0006960247155339474,0.01672166560822701,BLK
18,20,16,62,75,1e-06,1e-06,,0.0012442061913632402,0.01306966610597225,0.00018052780562674762,0.0003498462741156536,0.01570170461807143,BMY
19,16,16,100,62,1e-07,1e-06,,0.0017939859280152704,0.018037475473244045,0.0006314205439670534,0.0011005112351628616,0.020007017364825404,BX
20,16,20,50,50,1e-07,1e-06,,0.0008999593282235313,0.01822978148008515,-0.00024499889716578146,0.00043595222904526786,0.0207647861337014,C
21,16,25,87,100,1e-06,1e-06,,0.0013000044529539233,0.012356038006119913,0.0004397818254610613,0.0004809708880299975,0.01512833861463069,CMCSA
22,16,20,50,87,1e-07,1e-08,-0.0017500389044339958,0.000516523733171246,0.010501368810558322,-6.295032880490721e-05,0.0005813197969076552,0.02452976304249096,COP
23,16,25,75,87,1e-07,1e-06,,0.000851075543645469,0.009982849749739826,0.0009622330552390791,0.0009092143148328794,0.012572984649026578,COST
24,16,20,87,87,1e-05,1e-08,,0.001574121285220779,0.020965305233562038,0.00010137592644888869,0.0007898923042557578,0.02125378738499517,CRM
25,16,20,87,87,1e-06,1e-06,,0.000416734905757326,0.016094479712856838,0.000904516001197898,0.0007153323322403371,0.015727935243723165,CSCO
26,33,25,100,100,1e-05,1e-06,,0.0010773936460244278,0.010470625557819593,-5.33741010128976e-05,0.0004002953717953544,0.01590436444220782,CVS
27,16,25,100,100,1e-05,1e-09,0.0005212984266303712,0.00029188604543675147,0.009823554601367728,0.0003249107774049092,0.00042577494843793856,0.018792510409499242,CVX
28,16,20,75,75,1e-06,1e-06,,0.00019071092278668734,0.012351334397129933,0.0014364409483975573,0.0009722007916131951,0.017950089122983976,DE
29,16,16,50,100,1e-07,1e-09,,0.0007646131747001836,0.010810421044354701,-1.497749879744241e-05,0.00041118663114147894,0.01286929530376851,DEO
30,20,16,75,62,1e-05,1e-06,,0.0007817757807409428,0.011165453984718477,0.000576688598667413,0.0008714486946373776,0.01341478357310486,DHR
31,16,20,75,87,1e-05,1e-06,,0.0014088489895966152,0.011787875746978031,-0.0004399718853615619,0.0004949284976996622,0.016305240003829612,DIS
32,33,16,50,100,1e-07,1e-06,,0.0019196778943640466,0.033970526307271376,0.0008380324126415583,0.0007612005722956071,0.020863243290345192,FB
33,20,29,100,62,1e-05,1e-09,0.0018509650764389689,0.0014359197605825266,0.013781877567846598,0.0018737545755216122,0.0008647764645062925,0.01646465337051219,GOOG
34,20,29,100,62,1e-05,1e-09,0.0018509651747928154,0.0014359197005968233,0.013781877149748677,0.001886307453999413,0.0008619497178595093,0.016445485629419106,GOOGL
35,29,20,100,75,1e-07,1e-06,,0.0008598941658252812,0.015236534788135525,0.000549809614685424,0.0005967079359051891,0.018076176278067076,GS
36,16,20,62,50,1e-06,1e-06,,0.0011482760680728665,0.011374730842067438,0.0010120611266196701,0.0009437701929281379,0.014810261580575855,HD
37,16,29,75,100,1e-05,1e-06,,8.776866328813227e-05,0.0198884872450138,0.0008699621435031649,0.0008780231622809894,0.018215841073550915,HDB
38,16,16,50,50,1e-07,1e-06,,0.0010510457746168596,0.011693340279302022,0.000636938004985013,0.0005401163202885496,0.014479522939070637,HON
39,20,25,100,100,1e-05,1e-06,,0.0005963035304925367,0.01206467139600812,-0.0011486417492142446,0.00012723424219426065,0.014938779259169407,HSBC
40,16,20,100,50,1e-06,1e-09,,4.0213629974978877e-05,0.0110817751028306,-0.0005831805495275894,0.00010638618488643467,0.015167336127510435,IBM
41,29,16,50,75,1e-06,1e-06,,5.1143688870230066e-05,0.013260000282153704,0.0005337052882951982,0.0005987914033712543,0.01956982292722577,INTC
42,29,29,75,75,1e-05,1e-07,0.0008026620992341796,0.0006256118336969933,0.013000554686227399,0.0019425605782510634,0.0011250270327076107,0.01781383044119155,INTU
43,16,16,50,50,1e-07,1e-09,,,,,0.0010087212435391608,0.027475195036497042,JD
44,16,16,62,75,1e-06,1e-09,,0.000859522048657082,0.007516441658547529,0.0008787143666083157,0.0004595471023200684,0.011477342402286227,JNJ
45,16,25,50,50,1e-05,1e-06,,0.0010296774542661938,0.015032871901701621,0.0006278339670450535,0.0007391321103470892,0.017253292203772207,JPM
46,16,25,100,100,1e-05,1e-06,,0.0003167347131425092,0.009443109582393827,0.0007233552737891291,0.0004499148136556969,0.011430053499670944,KO
47,16,16,50,50,1e-07,1e-07,,0.00043221408651280093,0.009692558949433328,0.0006772885312639535,0.0006087232357626032,0.014085094915331926,LIN
48,20,29,100,100,1e-05,1e-07,,0.0010264769712352148,0.011262913616458974,0.0018601849716864147,0.0009362894186867732,0.016666435598244274,LLY
49,16,16,87,50,1e-06,1e-09,,0.0012284802715603756,0.015610385608158417,0.001753737421118155,0.0010075049031659574,0.01790973406962061,LOW
