,upper_short,lower_short,upper_long,lower_long,upper_p,lower_p,training_returns,training_benchmark_returns,training_benchmark_std,returns,benchmark_returns,benchmark_std,ticker
0,11,17,90,70,0.0062500075,1e-08,-0.0014171730279103755,0.00031091775296343506,0.018389481038028885,-6.445889139112436e-05,0.0012962442040995849,0.017771828432068662,AAPL
1,17,17,60,90,0.0187500025,1e-08,0.0018721998665861867,0.0016556807220635943,0.015622042273992514,0.0011253336867954695,0.0008282209015899355,0.017550399371708412,ABBV
2,5,30,50,90,0.0062500075,1e-08,2.348324248658989e-05,0.0008851882638617551,0.01103092542578816,-0.0014954209326889724,0.0007316859446477524,0.014804102426117566,ABT
3,5,17,80,90,0.012500005,1e-08,0.0009611314867039004,0.0009016293739016602,0.013482712979953616,-0.005765161101632055,0.0008511635727474962,0.014728918033273593,ACN
4,30,30,50,80,0.025,0.025,0.004120769258485516,0.0016030857109055475,0.015620942963004203,0.001022271183596196,0.0011107346604451393,0.019201026703728467,ADBE
5,30,5,90,50,0.012500005,1e-08,0.002312450639948603,0.001024118130846452,0.015073235689791388,0.0007560971120973129,0.001316028557941762,0.02408126355068711,AMAT
6,5,17,60,80,1e-08,1e-08,-0.0008653565640793734,-0.0007880889896240108,0.03337694907983953,0.0020843525577408594,0.0023806961325431547,0.03730990976727099,AMD
7,11,17,90,50,0.012500005,0.0062500075,0.0010392063402530458,0.0014083564952459577,0.014624315882271062,-0.0007388109713534863,0.0005227244603478938,0.01606702001626048,AMGN
8,30,30,70,60,0.012500005,0.0062500075,0.0002981092162144456,0.0014730434447026036,0.01876833353386982,0.0011249983198283972,0.0012615194650287644,0.019349902852798435,AMZN
9,17,23,90,50,0.025,0.0062500075,0.0018502423482314849,0.0020202872291107473,0.022185247248241478,0.0010275813203913576,0.0012405312142487544,0.020733924110656405,ASML
10,23,30,60,70,0.0187500025,0.0062500075,0.0051231753122692346,0.0012919288611576562,0.020073931524483373,0.0033497205561417234,0.0014880255419040783,0.022037355492369556,AVGO
11,5,11,80,70,0.0187500025,1e-08,0.0012340473832343872,0.0011636888697976382,0.012178473599952071,-0.008000852635208298,0.000629652244492907,0.019214260749782722,AXP
12,17,11,50,90,0.012500005,1e-08,0.00045049875090454484,0.0010481034875113458,0.009978240381093954,0.0003840209444626752,0.0005560873349533742,0.01602500125836317,AZN
13,5,17,60,50,0.0062500075,1e-08,0.0010974853954089734,0.0012429846123463326,0.01314869597712992,-0.02365383353178442,0.0006252193007056898,0.024997691738964208,BA
14,5,5,50,50,1e-08,1e-08,,,,-0.0011477850519913861,0.0003793635233743483,0.022480671624457507,BABA
15,17,5,90,50,0.025,1e-08,0.0012530441866864693,0.0015902828945907794,0.01919531087228369,-0.000864762936852478,0.0007780067010108576,0.019791914583520996,BAC
16,11,30,60,90,0.0187500025,1e-08,-0.0008879579604859505,5.0410993483537204e-05,0.015260964182214308,-0.005168525115000931,0.00039642581957328196,0.021383652405923936,BHP
17,5,23,50,90,0.0062500075,1e-08,0.0021188233170989375,0.0010852607281334019,0.014329189724771468,-0.005469508301009926,0.0006960247155339474,0.01672166560822701,BLK
18,11,23,60,70,0.0187500025,1e-08,0.0019730957710774348,0.0012442061913632402,0.01306966610597225,-0.004473847216712493,0.0003498462741156536,0.01570170461807143,BMY
19,5,17,80,90,0.0187500025,1e-08,0.00430036800334603,0.0017939859280152704,0.018037475473244045,-0.002169399179697626,0.0011005112351628616,0.020007017364825404,BX
20,5,17,50,50,1e-08,1e-08,0.0022310654681188683,0.0008999593282235313,0.01822978148008515,-0.008132871775737096,0.00043595222904526786,0.0207647861337014,C
21,23,30,70,70,0.012500005,0.0062500075,0.0016325640481731764,0.0013000044529539233,0.012356038006119913,0.00032602341817733883,0.0004809708880299975,0.01512833861463069,CMCSA
22,5,11,80,80,0.0062500075,1e-08,-0.0018201083830054253,0.000516523733171246,0.010501368810558322,-0.008335509846844565,0.0005813197969076552,0.02452976304249096,COP
23,23,11,50,60,0.0062500075,1e-08,0.0013395172554352117,0.000851075543645469,0.009982849749739826,0.0012055652764810334,0.0009092143148328794,0.012572984649026578,COST
24,23,23,60,90,0.0062500075,1e-08,0.002412551202397846,0.001574121285220779,0.020965305233562038,-0.0011193164410639711,0.0007898923042557578,0.02125378738499517,CRM
25,11,17,70,50,0.025,1e-08,0.0006895098635487729,0.000416734905757326,0.016094479712856838,-0.0008014008745828728,0.0007153323322403371,0.015727935243723165,CSCO
26,11,30,60,60,0.0187500025,0.0062500075,0.0016029696862598585,0.0010773936460244278,0.010470625557819593,-0.0012628321634602822,0.0004002953717953544,0.01590436444220782,CVS
27,11,30,60,60,0.0187500025,1e-08,-0.0002326485845449028,0.00029188604543675147,0.009823554601367728,-0.0057558783185066575,0.00042577494843793856,0.018792510409499242,CVX
28,11,17,50,80,0.0062500075,1e-08,0.00091978225101023,0.00019071092278668734,0.012351334397129933,0.0009406051509667924,0.0009722007916131951,0.017950089122983976,DE
29,5,17,90,90,1e-08,1e-08,0.0005558633381272957,0.0007646131747001836,0.010810421044354701,-0.004258090181951271,0.00041118663114147894,0.01286929530376851,DEO
