,upper_short,lower_short,upper_long,lower_long,upper_p,lower_p,training_returns,training_benchmark_returns,training_benchmark_std,returns,benchmark_returns,benchmark_std,ticker
0,11,19,80,60,0.0062500075,1e-07,-0.002257061388893345,0.00031091775296343506,0.018389481038028885,-0.003002884264720304,0.0012962442040995849,0.017771828432068662,AAPL
1,11,19,90,90,0.012500005,1e-07,,0.0016556807220635943,0.015622042273992514,-0.002076581134658265,0.0008282209015899355,0.017550399371708412,ABBV
2,35,27,50,80,0.0187500025,2.50075e-08,,0.0008851882638617551,0.01103092542578816,0.002496019766344478,0.0007316859446477524,0.014804102426117566,ABT
3,3,11,90,60,1e-08,1e-11,,0.0009016293739016602,0.013482712979953616,-0.004989148490513208,0.0008511635727474962,0.014728918033273593,ACN
4,19,19,80,90,0.0062500075,7.50025e-08,,0.0016030857109055475,0.015620942963004203,-8.718106754783763e-05,0.0011107346604451393,0.019201026703728467,ADBE
5,11,11,80,80,0.0187500025,1e-07,,0.001024118130846452,0.015073235689791388,0.0017717084381657763,0.001316028557941762,0.02408126355068711,AMAT
6,3,19,50,90,1e-08,1e-07,,-0.0007880889896240108,0.03337694907983953,-0.003005328251727954,0.0023806961325431547,0.03730990976727099,AMD
7,19,11,70,70,1e-08,5.0005e-08,,0.0014083564952459577,0.014624315882271062,0.0003501228479227507,0.0005227244603478938,0.01606702001626048,AMGN
8,3,11,80,80,0.0062500075,1e-11,,0.0014730434447026036,0.01876833353386982,-0.009275875285790207,0.0012615194650287644,0.019349902852798435,AMZN
9,3,27,60,80,1e-08,7.50025e-08,,0.0020202872291107473,0.022185247248241478,-0.011107033933016486,0.0012405312142487544,0.020733924110656405,ASML
10,11,11,70,80,0.012500005,1e-07,,0.0012919288611576562,0.020073931524483373,-0.00024505526473903066,0.0014880255419040783,0.022037355492369556,AVGO
11,3,11,50,50,1e-08,2.50075e-08,,0.0011636888697976382,0.012178473599952071,-0.006986712097085277,0.000629652244492907,0.019214260749782722,AXP
12,19,19,80,90,0.0062500075,1e-07,,0.0010481034875113458,0.009978240381093954,0.0006065580307560315,0.0005560873349533742,0.01602500125836317,AZN
13,11,19,60,50,0.025,7.50025e-08,,0.0012429846123463326,0.01314869597712992,-0.031358563435182334,0.0006252193007056898,0.024997691738964208,BA
14,3,3,50,50,1e-08,1e-11,,,,-0.004333263335661739,0.0003793635233743483,0.022480671624457507,BABA
15,19,3,90,50,0.0187500025,1e-11,,0.0015902828945907794,0.01919531087228369,-0.0007424517906358078,0.0007780067010108576,0.019791914583520996,BAC
16,3,11,50,70,0.012500005,1e-07,,5.0410993483537204e-05,0.015260964182214308,-0.008590797928368605,0.00039642581957328196,0.021383652405923936,BHP
17,3,11,60,50,0.0062500075,1e-07,,0.0010852607281334019,0.014329189724771468,-0.007423127368094289,0.0006960247155339474,0.01672166560822701,BLK
18,11,19,80,90,0.0062500075,5.0005e-08,,0.0012442061913632402,0.01306966610597225,-0.004790428459427148,0.0003498462741156536,0.01570170461807143,BMY
19,3,19,90,90,1e-08,1e-07,,0.0017939859280152704,0.018037475473244045,-0.006795096478726836,0.0011005112351628616,0.020007017364825404,BX
20,11,19,50,50,0.025,2.50075e-08,,0.0008999593282235313,0.01822978148008515,-0.010371836448361007,0.00043595222904526786,0.0207647861337014,C
21,11,19,60,90,1e-08,7.50025e-08,,0.0013000044529539233,0.012356038006119913,0.0006287255060531181,0.0004809708880299975,0.01512833861463069,CMCSA
22,11,11,70,70,0.0062500075,1e-07,,0.000516523733171246,0.010501368810558322,-0.0026311102012548286,0.0005813197969076552,0.02452976304249096,COP
23,35,19,50,90,0.025,7.50025e-08,,0.000851075543645469,0.009982849749739826,0.0007361669238083023,0.0009092143148328794,0.012572984649026578,COST
24,27,19,60,80,0.0062500075,7.50025e-08,,0.001574121285220779,0.020965305233562038,-0.0014788443425905677,0.0007898923042557578,0.02125378738499517,CRM
25,11,19,50,50,0.025,5.0005e-08,,0.000416734905757326,0.016094479712856838,-0.0013849330893445006,0.0007153323322403371,0.015727935243723165,CSCO
26,27,11,70,60,0.0187500025,5.0005e-08,,0.0010773936460244278,0.010470625557819593,-0.000664703431882169,0.0004002953717953544,0.01590436444220782,CVS
27,3,27,90,90,0.025,7.50025e-08,,0.00029188604543675147,0.009823554601367728,-0.007203981909996627,0.00042577494843793856,0.018792510409499242,CVX
28,3,19,90,80,0.0187500025,7.50025e-08,,0.00019071092278668734,0.012351334397129933,-0.004106019569878081,0.0009722007916131951,0.017950089122983976,DE
29,3,11,50,80,0.012500005,1e-11,,0.0007646131747001836,0.010810421044354701,-0.01276040802840508,0.00041118663114147894,0.01286929530376851,DEO
